author,added,deleted,commits
Alena Volchanskaya,70,288,1
Alexey Ivanov,21836,21677,5
Artem Kovshov,20602,161,2
Atharva Pathak,14,4,2
Damilola Adeyemi,28,19,1
Developer Portal Bot,40,0,1
Dmytro Filipenko,843,261,9
Dmytro Fokin,1131,827,9
InfraOps Bot - Renovate,670,790,8
Jack Mayer,9,11,1
Joel Pinto Ribeiro,375,141,14
Juan,78,25,11
Juan Bigorra,11315,7588,23
Katya Senenkova,16,1,1
Manu Ustenko,65256,39252,4
Matcha,3,3,1
Mikhail Kachala,48,71,1
Miša Vučićević,41,35,2
Murali Mariappan,7200,3435,60
Pablo Felipe Leonhart,4214,2949,8
Pol Ortiz,260,121,9
Samuel Vasco,2918,2458,4
Sanja Mitrovic,105455,97023,216
Sennder Machine User,1,1,1
Sergei Zaliubovskii,31857,30557,47
Sergej Herbert,61,1230,2
Yashwanth Harikrishnan,96143,40708,297
dmitry,15,15,4
sennder,592,347,2
